train/reward,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/std,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate
6.167982,124,1089,135168,66,0.2998746633529663,0.2,-0.004031526079052128,0.013008121,212.8123321533203,1.1131101846694946,0.1853515625,650,371.48343029022215,-44.21981365680695,0.00025
-1.6173241,124,1105,137216,67,0.8238512873649597,0.2,-0.0080855937092565,0.02185924,11.372170448303223,1.1152048110961914,0.19033203125,660,28.222001874446867,-44.262310647964476,0.00025
-0.44523567,124,1121,139264,68,0.44318556785583496,0.2,-0.0036850453761871904,0.020571511,437.42962646484375,1.1178934574127197,0.2109375,670,389.7228141307831,-44.32218487262726,0.00025
1.5340471,124,1138,141312,69,0.5073245465755463,0.2,-0.0003362048853887245,0.023990382,60.4683837890625,1.1202473640441895,0.225244140625,680,288.36071929931643,-44.39777765274048,0.00025
-1.0341524,124,1154,143360,70,0.822407141327858,0.2,-0.003946866528713145,0.012016913,18.91802406311035,1.120734691619873,0.1453125,690,40.60368447303772,-44.43228192329407,0.00025
1.1215682,124,1170,145408,71,0.5630408823490143,0.2,0.0024235425327788105,0.022681389,232.97152709960938,1.1223833560943604,0.227783203125,700,280.01621255874636,-44.46057960987091,0.00025
-67.112915,124,1186,147456,72,0.5748164355754852,0.2,2.505606971681118e-05,0.013235249,91.6058578491211,1.1231873035430908,0.18994140625,710,325.9917854785919,-44.48815975189209,0.00025
-1.1820594,124,1202,149504,73,0.48998743295669556,0.2,-0.0065193087561056014,0.012156767,105.42827606201172,1.1236385107040405,0.136279296875,720,199.88214588165283,-44.502250742912295,0.00025
-2.0968714,124,1218,151552,74,0.6060810387134552,0.2,-0.00442939589265734,0.01779244,63.68561935424805,1.1245888471603394,0.155859375,730,167.5202097415924,-44.51827626228332,0.00025
1.2886934,124,1235,153600,75,0.646746814250946,0.2,-0.004191352654015645,0.012184033,91.90477752685547,1.1239737272262573,0.1337890625,740,296.5164237499237,-44.5266773223877,0.00025
-3.6146393,124,1251,155648,76,0.5551933646202087,0.2,-0.006188343907706439,0.010727834,229.22280883789062,1.1240328550338745,0.07158203125,750,265.29094567298887,-44.51764886379242,0.00025
0.83768,124,1267,157696,77,0.8723440915346146,0.2,0.0012276577530428768,0.031492736,20.276090621948242,1.1239080429077148,0.266015625,760,37.79095454216004,-44.51563036441803,0.00025
1.9844627,124,1283,159744,78,0.6199498474597931,0.2,-0.0012128159200074152,0.029414944,78.91047668457031,1.126462459564209,0.2220703125,770,323.85651021003724,-44.54678406715393,0.00025
-5.8907976,124,1299,161792,79,0.6179589629173279,0.2,-0.00012319717789068818,0.013980987,284.150146484375,1.1289151906967163,0.18037109375,780,391.40081043243407,-44.613993120193484,0.00025
0.047991935,124,1315,163840,80,0.8038633912801743,0.2,-0.0045844273874536155,0.011077663,28.967571258544922,1.1298460960388184,0.173486328125,790,101.70607028007507,-44.659097981452945,0.00025
-0.4024213,124,1331,165888,81,0.5718751847743988,0.2,-0.002313156696618535,0.016447362,155.21981811523438,1.1304075717926025,0.190869140625,800,297.5373173236847,-44.67072401046753,0.00025
0.105644,124,1348,167936,82,0.6824227273464203,0.2,-0.0026872950344113632,0.011538137,148.89501953125,1.1305128335952759,0.083251953125,810,349.01928958892825,-44.677934646606445,0.00025
-2.6561418,124,1364,169984,83,0.5047405362129211,0.2,0.001486410986399278,0.035315312,83.09927368164062,1.1315439939498901,0.08935546875,820,388.5569058418274,-44.69149270057678,0.00025
1.0607411,124,1380,172032,84,0.8654697984457016,0.2,0.004633981682127341,0.024370767,28.29847526550293,1.1348152160644531,0.32939453125,830,48.89655227661133,-44.75108079910278,0.00025
-0.41876623,124,1396,174080,85,0.5894800126552582,0.2,0.0010153604671359062,0.016140964,227.36561584472656,1.1383185386657715,0.17001953125,840,383.20456924438474,-44.82828540802002,0.00025
-0.29829496,124,1412,176128,86,0.5774818956851959,0.2,4.840085457544774e-05,0.013865912,289.50238037109375,1.1388548612594604,0.093994140625,850,377.2602758407593,-44.89538226127625,0.00025
